device,useragent
firefox,Mozilla/5.0 (Linux; U; Linux i680 ) Gecko/20100101 Firefox/64.0
windows,"Mozilla/5.0 (Windows NT 6.2; x64; en-US) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/50.0.2414.224 Safari/601.8 Edge/12.67127"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1_3; like Mac OS X) AppleWebKit/534.40 (KHTML, like Gecko)  Chrome/55.0.3562.341 Mobile Safari/601.0"
edge,"Mozilla/5.0 (Windows; Windows NT 10.0; x64) AppleWebKit/535.27 (KHTML, like Gecko) Chrome/50.0.2314.343 Safari/603.9 Edge/18.72606"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.3;; en-US Trident/4.0)
android,"Mozilla/5.0 (Linux; U; Android 4.4; Nexus5 V6.1 Build/KOT49H) AppleWebKit/603.49 (KHTML, like Gecko)  Chrome/48.0.2787.249 Mobile Safari/534.2"
chrome,"Mozilla/5.0 (Windows; Windows NT 10.5; WOW64; en-US) AppleWebKit/603.47 (KHTML, like Gecko) Chrome/54.0.1799.395 Safari/534"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 9_5_2; like Mac OS X) AppleWebKit/603.1 (KHTML, like Gecko)  Chrome/54.0.2090.106 Mobile Safari/602.3"
firefox,Mozilla/5.0 (Linux; Linux i585 x86_64) Gecko/20130401 Firefox/58.2
edge,"Mozilla/5.0 (Windows NT 10.2;; en-US) AppleWebKit/600.36 (KHTML, like Gecko) Chrome/55.0.1779.379 Safari/602.2 Edge/18.22526"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1) Gecko/20130401 Firefox/70.0
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 9_8_4; like Mac OS X) AppleWebKit/602.2 (KHTML, like Gecko)  Chrome/48.0.1979.225 Mobile Safari/603.8"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.1; WOW64; en-US Trident/5.0)
linux,Mozilla/5.0 (Linux i562 x86_64) Gecko/20100101 Firefox/47.6
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) Gecko/20100101 Firefox/49.0
mobile,"Mozilla/5.0 (Linux; Android 5.0.2; SAMSUNG SM-G420 Build/LRX22G) AppleWebKit/535.24 (KHTML, like Gecko)  Chrome/55.0.3203.121 Mobile Safari/601.2"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_7_5; like Mac OS X) AppleWebKit/537.15 (KHTML, like Gecko)  Chrome/52.0.3479.212 Mobile Safari/601.7"
edge,"Mozilla/5.0 (Windows NT 10.3; x64) AppleWebKit/600.41 (KHTML, like Gecko) Chrome/49.0.1400.215 Safari/533.9 Edge/16.70460"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.2; WOW64 Trident/7.0)
linux,"Mozilla/5.0 (Linux; Linux i665 ) AppleWebKit/536.48 (KHTML, like Gecko) Chrome/52.0.3763.310 Safari/600"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.3; Win64; x64 Trident/4.0)
edge,"Mozilla/5.0 (Windows; Windows NT 10.0; x64) AppleWebKit/602.32 (KHTML, like Gecko) Chrome/50.0.3383.348 Safari/533.5 Edge/8.47342"
linux,"Mozilla/5.0 (Linux; U; Linux x86_64; en-US) AppleWebKit/602.29 (KHTML, like Gecko) Chrome/49.0.1266.180 Safari/601"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.1; Trident/7.0)
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.5; x64; en-US) AppleWebKit/602.10 (KHTML, like Gecko) Chrome/52.0.3650.244 Safari/603.7 Edge/18.52552"
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 10.2; x64 Trident/4.0)
chrome,"Mozilla/5.0 (Linux i682 x86_64) AppleWebKit/600.40 (KHTML, like Gecko) Chrome/50.0.1464.280 Safari/534"
edge,"Mozilla/5.0 (Windows; Windows NT 10.4; Win64; x64) AppleWebKit/533.45 (KHTML, like Gecko) Chrome/48.0.3210.320 Safari/537.0 Edge/16.29197"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 9_0_3 like Mac OS X) AppleWebKit/537.27 (KHTML, like Gecko)  Chrome/49.0.1415.144 Mobile Safari/536.8"
linux,"Mozilla/5.0 (Linux; Linux i681 x86_64) AppleWebKit/602.4 (KHTML, like Gecko) Chrome/47.0.3320.395 Safari/535"
chrome,"Mozilla/5.0 (Linux; U; Linux i671 ; en-US) AppleWebKit/603.32 (KHTML, like Gecko) Chrome/48.0.2935.320 Safari/603"
firefox,Mozilla/5.0 (Windows; U; Windows NT 6.3; WOW64) Gecko/20100101 Firefox/47.8
edge,"Mozilla/5.0 (Windows; Windows NT 10.1; Win64; x64; en-US) AppleWebKit/603.49 (KHTML, like Gecko) Chrome/53.0.1958.244 Safari/536.2 Edge/10.17620"
edge,"Mozilla/5.0 (Windows; Windows NT 10.5; Win64; x64; en-US) AppleWebKit/601.22 (KHTML, like Gecko) Chrome/53.0.3839.264 Safari/600.9 Edge/8.93414"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.5; x64) AppleWebKit/600.47 (KHTML, like Gecko) Chrome/55.0.3931.217 Safari/600.4 Edge/16.74534"
linux,Mozilla/5.0 (U; Linux x86_64; en-US) Gecko/20100101 Firefox/66.8
windows,Mozilla/5.0 (Windows; Windows NT 6.3; WOW64; en-US) Gecko/20130401 Firefox/72.4
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_5_4; en-US) Gecko/20100101 Firefox/73.9
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_4_7) AppleWebKit/537.18 (KHTML, like Gecko) Chrome/53.0.1062.201 Safari/603"
firefox,Mozilla/5.0 (U; Linux i680 ) Gecko/20130401 Firefox/47.1
windows,Mozilla/5.0 (Windows; Windows NT 6.1; WOW64) Gecko/20100101 Firefox/64.9
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_5_5) AppleWebKit/533.13 (KHTML, like Gecko) Chrome/53.0.1394.132 Safari/603"
linux,Mozilla/5.0 (U; Linux x86_64) Gecko/20100101 Firefox/58.0
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_1_1; en-US) Gecko/20100101 Firefox/68.6
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; x64; en-US Trident/4.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_9_7; like Mac OS X) AppleWebKit/534.30 (KHTML, like Gecko)  Chrome/50.0.3869.326 Mobile Safari/534.1"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_2_7; like Mac OS X) AppleWebKit/537.1 (KHTML, like Gecko)  Chrome/51.0.2000.132 Mobile Safari/602.8"
android,"Mozilla/5.0 (Android; Android 7.1; Pixel XL Build/NME91E) AppleWebKit/601.29 (KHTML, like Gecko)  Chrome/53.0.3929.274 Mobile Safari/603.1"
edge,"Mozilla/5.0 (Windows NT 10.3; WOW64; en-US) AppleWebKit/533.9 (KHTML, like Gecko) Chrome/49.0.3546.159 Safari/600.2 Edge/16.39471"
chrome,"Mozilla/5.0 (Linux; U; Linux x86_64) AppleWebKit/536.4 (KHTML, like Gecko) Chrome/53.0.3257.287 Safari/601"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.1; WOW64 Trident/4.0)
linux,Mozilla/5.0 (Linux x86_64; en-US) Gecko/20100101 Firefox/67.5
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_2_8; like Mac OS X) AppleWebKit/602.19 (KHTML, like Gecko)  Chrome/49.0.2003.385 Mobile Safari/602.7"
android,"Mozilla/5.0 (Android; Android 7.1.1; Pixel XL Build/NRD90M) AppleWebKit/600.48 (KHTML, like Gecko)  Chrome/50.0.1315.132 Mobile Safari/603.4"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_2_7; en-US) Gecko/20100101 Firefox/64.4
android,"Mozilla/5.0 (Linux; Android 5.1.1; MOTOROLA MOTO X PURE XT1575 Build/LPD23) AppleWebKit/602.19 (KHTML, like Gecko)  Chrome/48.0.2909.246 Mobile Safari/602.2"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_2_5; like Mac OS X) AppleWebKit/601.29 (KHTML, like Gecko)  Chrome/49.0.3614.230 Mobile Safari/533.2"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_9_8; like Mac OS X) AppleWebKit/601.3 (KHTML, like Gecko)  Chrome/47.0.1727.105 Mobile Safari/600.7"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_0_2) AppleWebKit/601.11 (KHTML, like Gecko) Chrome/51.0.1252.241 Safari/537"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_8_9; like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko)  Chrome/47.0.2766.344 Mobile Safari/537.3"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_8_8) Gecko/20100101 Firefox/57.7
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_3_5) AppleWebKit/602.3 (KHTML, like Gecko) Chrome/50.0.3806.107 Safari/534"
android,"Mozilla/5.0 (Linux; Android 5.1; SAMSUNG SM-G935I Build/MMB29M) AppleWebKit/601.49 (KHTML, like Gecko)  Chrome/48.0.3994.274 Mobile Safari/600.0"
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.0; WOW64; en-US) AppleWebKit/536.40 (KHTML, like Gecko) Chrome/48.0.2251.112 Safari/602.2 Edge/13.84254"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.2; x64; en-US Trident/6.0)
android,"Mozilla/5.0 (Linux; Android 4.3.1; HUAWEI G6-L10 Build/HuaweiG6-L11) AppleWebKit/535.9 (KHTML, like Gecko)  Chrome/47.0.2245.345 Mobile Safari/603.3"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.2; WOW64; en-US Trident/4.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_5_4; like Mac OS X) AppleWebKit/534.7 (KHTML, like Gecko)  Chrome/51.0.3013.104 Mobile Safari/534.6"
firefox,Mozilla/5.0 (Linux; U; Linux x86_64) Gecko/20100101 Firefox/59.1
linux,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20100101 Firefox/62.6
firefox,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20100101 Firefox/48.7
android,"Mozilla/5.0 (Linux; Android 5.1; SM-G928F-ORANGE Build/LMY47X) AppleWebKit/537.40 (KHTML, like Gecko)  Chrome/47.0.2452.319 Mobile Safari/535.3"
mobile,"Mozilla/5.0 (Android; Android 4.4.1; SM-J110G Build/KTU84P) AppleWebKit/602.10 (KHTML, like Gecko)  Chrome/48.0.2911.236 Mobile Safari/603.4"
android,"Mozilla/5.0 (Android; Android 5.0; HTC [M8|M9|M8 Pro Build/LRX22G) AppleWebKit/603.36 (KHTML, like Gecko)  Chrome/53.0.1387.161 Mobile Safari/533.3"
android,"Mozilla/5.0 (Linux; U; Android 7.1; Pixel C Build/NME91E) AppleWebKit/537.28 (KHTML, like Gecko)  Chrome/51.0.3186.277 Mobile Safari/534.3"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_9_1; like Mac OS X) AppleWebKit/601.8 (KHTML, like Gecko)  Chrome/54.0.1622.239 Mobile Safari/534.8"
linux,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20100101 Firefox/53.1
edge,"Mozilla/5.0 (Windows; Windows NT 10.0; x64; en-US) AppleWebKit/603.41 (KHTML, like Gecko) Chrome/51.0.3890.166 Safari/601.9 Edge/14.14345"
mobile,"Mozilla/5.0 (Linux; U; Android 7.0; Xperia V Build/NDE63X) AppleWebKit/603.28 (KHTML, like Gecko)  Chrome/49.0.2150.279 Mobile Safari/603.0"
linux,Mozilla/5.0 (U; Linux i572 x86_64) Gecko/20100101 Firefox/46.1
linux,"Mozilla/5.0 (Linux; Linux x86_64; en-US) AppleWebKit/603.3 (KHTML, like Gecko) Chrome/50.0.1003.206 Safari/603"
android,"Mozilla/5.0 (Android; Android 4.4.4; HTC One809d dual sim Build/KTU84L) AppleWebKit/534.18 (KHTML, like Gecko)  Chrome/51.0.3417.247 Mobile Safari/600.2"
linux,"Mozilla/5.0 (U; Linux i673 ; en-US) AppleWebKit/533.34 (KHTML, like Gecko) Chrome/54.0.3797.228 Safari/600"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.3; Win64; x64; en-US Trident/5.0)
chrome,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/601.40 (KHTML, like Gecko) Chrome/51.0.2034.169 Safari/600"
edge,"Mozilla/5.0 (Windows NT 10.4; Win64; x64) AppleWebKit/536.50 (KHTML, like Gecko) Chrome/54.0.3335.133 Safari/533.9 Edge/15.37305"
firefox,Mozilla/5.0 (Windows NT 10.1;; en-US) Gecko/20130401 Firefox/66.3
chrome,"Mozilla/5.0 (Linux i581 x86_64; en-US) AppleWebKit/533.46 (KHTML, like Gecko) Chrome/47.0.2172.170 Safari/601"
edge,"Mozilla/5.0 (Windows; Windows NT 10.2; Win64; x64) AppleWebKit/534.12 (KHTML, like Gecko) Chrome/48.0.2416.284 Safari/602.7 Edge/8.43393"
android,"Mozilla/5.0 (Android; Android 7.1.1; LG-H900 Build/NRD90M) AppleWebKit/535.17 (KHTML, like Gecko)  Chrome/54.0.1181.254 Mobile Safari/600.7"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 7_6_3 like Mac OS X) AppleWebKit/536.10 (KHTML, like Gecko)  Chrome/52.0.1936.391 Mobile Safari/535.1"
windows,Mozilla/5.0 (Windows; U; Windows NT 6.0; Win64; x64) Gecko/20130401 Firefox/67.6
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_8_8; like Mac OS X) AppleWebKit/537.8 (KHTML, like Gecko)  Chrome/55.0.1234.395 Mobile Safari/603.3"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 9_4_8 like Mac OS X) AppleWebKit/533.35 (KHTML, like Gecko)  Chrome/52.0.3999.251 Mobile Safari/537.0"
linux,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20100101 Firefox/48.2
android,"Mozilla/5.0 (Android; Android 5.0.1; SAMSUNG SM-G470 Build/LRX22C) AppleWebKit/535.35 (KHTML, like Gecko)  Chrome/47.0.2844.109 Mobile Safari/601.3"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3_2; like Mac OS X) AppleWebKit/603.7 (KHTML, like Gecko)  Chrome/52.0.3995.197 Mobile Safari/602.7"
edge,"Mozilla/5.0 (Windows NT 10.1;) AppleWebKit/534.17 (KHTML, like Gecko) Chrome/52.0.3910.222 Safari/534.7 Edge/9.27195"
edge,"Mozilla/5.0 (Windows; Windows NT 10.5; Win64; x64; en-US) AppleWebKit/534.4 (KHTML, like Gecko) Chrome/51.0.3594.215 Safari/603.6 Edge/18.34563"
windows,"Mozilla/5.0 (Windows NT 10.4; WOW64; en-US) AppleWebKit/537.50 (KHTML, like Gecko) Chrome/52.0.3641.136 Safari/535.1 Edge/11.77201"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.5; x64; en-US) AppleWebKit/602.16 (KHTML, like Gecko) Chrome/55.0.2205.177 Safari/537"
windows,"Mozilla/5.0 (Windows; Windows NT 10.2; Win64; x64; en-US) AppleWebKit/600.32 (KHTML, like Gecko) Chrome/52.0.2655.167 Safari/536"
windows,Mozilla/5.0 (Windows NT 6.2; x64; en-US) Gecko/20130401 Firefox/71.1
mobile,"Mozilla/5.0 (Linux; U; Android 4.4.1; SAMSUNG SM-G900W8 Build/KOT49H) AppleWebKit/537.16 (KHTML, like Gecko)  Chrome/50.0.3250.111 Mobile Safari/536.7"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_4; en-US) Gecko/20100101 Firefox/66.6
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1_0; like Mac OS X) AppleWebKit/533.21 (KHTML, like Gecko)  Chrome/53.0.3379.207 Mobile Safari/533.6"
linux,Mozilla/5.0 (Linux; Linux x86_64) Gecko/20100101 Firefox/55.9
edge,"Mozilla/5.0 (Windows; Windows NT 10.5; Win64; x64) AppleWebKit/535.22 (KHTML, like Gecko) Chrome/51.0.2913.129 Safari/536.2 Edge/8.51282"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_9_2; like Mac OS X) AppleWebKit/603.5 (KHTML, like Gecko)  Chrome/51.0.2642.376 Mobile Safari/533.1"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_8_2; like Mac OS X) AppleWebKit/602.1 (KHTML, like Gecko)  Chrome/48.0.1543.228 Mobile Safari/537.3"
windows,"Mozilla/5.0 (Windows; Windows NT 10.0; WOW64) AppleWebKit/535.46 (KHTML, like Gecko) Chrome/49.0.3713.296 Safari/602.4 Edge/12.41726"
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.3; Win64; x64; en-US Trident/4.0)
android,"Mozilla/5.0 (Android; Android 7.1.1; GT-I9400 Build/KTU84P) AppleWebKit/535.4 (KHTML, like Gecko)  Chrome/48.0.1611.388 Mobile Safari/535.3"
android,"Mozilla/5.0 (Linux; Android 5.1.1; Nexus 6 Build/LMY48B) AppleWebKit/537.7 (KHTML, like Gecko)  Chrome/52.0.2551.116 Mobile Safari/534.0"
mobile,"Mozilla/5.0 (Linux; Android 6.0; SAMSUNG SM-D925I Build/MMB29V) AppleWebKit/534.37 (KHTML, like Gecko)  Chrome/55.0.1979.181 Mobile Safari/536.2"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 6.0; Win64; x64 Trident/5.0)
android,"Mozilla/5.0 (Linux; Android 7.0; LG-H910 Build/NRD90C) AppleWebKit/534.24 (KHTML, like Gecko)  Chrome/48.0.2199.184 Mobile Safari/601.6"
windows,Mozilla/5.0 (Windows; Windows NT 10.4;; en-US) Gecko/20130401 Firefox/74.1
firefox,Mozilla/5.0 (U; Linux i542 x86_64) Gecko/20100101 Firefox/53.4
linux,"Mozilla/5.0 (Linux; U; Linux i581 ; en-US) AppleWebKit/601.12 (KHTML, like Gecko) Chrome/53.0.1441.380 Safari/534"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2; en-US) AppleWebKit/536.25 (KHTML, like Gecko) Chrome/55.0.1452.269 Safari/602"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_8_0; like Mac OS X) AppleWebKit/537.35 (KHTML, like Gecko)  Chrome/52.0.2950.284 Mobile Safari/600.4"
windows,Mozilla/5.0 (Windows; U; Windows NT 6.0; Win64; x64) Gecko/20100101 Firefox/49.4
linux,Mozilla/5.0 (Linux i543 x86_64; en-US) Gecko/20130401 Firefox/53.2
windows,Mozilla/5.0 (Windows NT 10.3; Win64; x64; en-US) Gecko/20100101 Firefox/63.7
android,"Mozilla/5.0 (Android; Android 4.4.1; SAMSUNG GT-I9304I Build/KOT49H) AppleWebKit/533.31 (KHTML, like Gecko)  Chrome/53.0.2144.336 Mobile Safari/600.5"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 7_1_4 like Mac OS X) AppleWebKit/600.9 (KHTML, like Gecko)  Chrome/47.0.3698.172 Mobile Safari/537.9"
firefox,Mozilla/5.0 (Windows NT 6.0; Win64; x64; en-US) Gecko/20100101 Firefox/45.6
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_7_4) Gecko/20100101 Firefox/72.3
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_8_6; like Mac OS X) AppleWebKit/534.7 (KHTML, like Gecko)  Chrome/49.0.2921.339 Mobile Safari/602.3"
chrome,"Mozilla/5.0 (Linux; U; Linux i660 x86_64) AppleWebKit/537.50 (KHTML, like Gecko) Chrome/54.0.3169.202 Safari/603"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 7_0_1; like Mac OS X) AppleWebKit/533.42 (KHTML, like Gecko)  Chrome/49.0.2572.271 Mobile Safari/600.2"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_9_5; like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko)  Chrome/51.0.1582.338 Mobile Safari/601.6"
windows,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.42 (KHTML, like Gecko) Chrome/55.0.3608.224 Safari/535.6 Edge/11.64962"
windows,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64 Trident/6.0)
android,"Mozilla/5.0 (Linux; Android 4.4; LG-D450 Build/KOT49H) AppleWebKit/602.11 (KHTML, like Gecko)  Chrome/50.0.1521.386 Mobile Safari/601.4"
chrome,"Mozilla/5.0 (Windows NT 6.1;; en-US) AppleWebKit/600.44 (KHTML, like Gecko) Chrome/50.0.3402.211 Safari/600"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_2_3; en-US) AppleWebKit/600.20 (KHTML, like Gecko) Chrome/52.0.2462.330 Safari/601"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.1; WOW64 Trident/4.0)
windows,"Mozilla/5.0 (Windows; Windows NT 10.4;) AppleWebKit/602.19 (KHTML, like Gecko) Chrome/47.0.2732.289 Safari/602"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_9; like Mac OS X) AppleWebKit/535.4 (KHTML, like Gecko)  Chrome/52.0.3386.355 Mobile Safari/537.9"
edge,"Mozilla/5.0 (Windows NT 10.2; Win64; x64; en-US) AppleWebKit/537.34 (KHTML, like Gecko) Chrome/55.0.2923.166 Safari/537.2 Edge/16.90333"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_3; like Mac OS X) AppleWebKit/603.44 (KHTML, like Gecko)  Chrome/47.0.2121.350 Mobile Safari/600.7"
windows,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/600.16 (KHTML, like Gecko) Chrome/53.0.2631.124 Safari/536.3 Edge/16.80862"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 7_0_8; like Mac OS X) AppleWebKit/537.42 (KHTML, like Gecko)  Chrome/52.0.2807.368 Mobile Safari/602.2"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_2_3; en-US) Gecko/20100101 Firefox/72.7
mobile,"Mozilla/5.0 (Linux; Android 4.4.1; Google Nexus 5 Build/KOT49H) AppleWebKit/600.43 (KHTML, like Gecko)  Chrome/55.0.3376.334 Mobile Safari/601.6"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2;; en-US Trident/5.0)
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Win64; x64 Trident/4.0)
mobile,"Mozilla/5.0 (Linux; U; Android 5.0.2; LG-D704 Build/LRX22G) AppleWebKit/603.38 (KHTML, like Gecko)  Chrome/52.0.3047.376 Mobile Safari/537.0"
mobile,"Mozilla/5.0 (Linux; U; Android 4.3.1; Samsung Galaxy S4 Mega GT-I9100 Build/JDQ39) AppleWebKit/603.32 (KHTML, like Gecko)  Chrome/47.0.2216.190 Mobile Safari/535.0"
chrome,"Mozilla/5.0 (U; Linux x86_64) AppleWebKit/601.7 (KHTML, like Gecko) Chrome/52.0.2598.308 Safari/536"
firefox,Mozilla/5.0 (Windows; U; Windows NT 6.0; WOW64) Gecko/20130401 Firefox/57.9
linux,"Mozilla/5.0 (Linux x86_64) AppleWebKit/536.37 (KHTML, like Gecko) Chrome/48.0.3398.265 Safari/537"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.0;; en-US Trident/4.0)
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 6.3; x64; en-US Trident/5.0)
chrome,"Mozilla/5.0 (Windows; Windows NT 10.2; Win64; x64; en-US) AppleWebKit/600.49 (KHTML, like Gecko) Chrome/52.0.1270.275 Safari/602"
edge,"Mozilla/5.0 (Windows NT 10.0; x64) AppleWebKit/602.40 (KHTML, like Gecko) Chrome/50.0.2060.189 Safari/537.0 Edge/9.80609"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_6; like Mac OS X) AppleWebKit/600.8 (KHTML, like Gecko)  Chrome/47.0.2432.257 Mobile Safari/601.2"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_1_2) Gecko/20100101 Firefox/51.2
linux,Mozilla/5.0 (U; Linux i546 x86_64) Gecko/20100101 Firefox/69.5
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.0;; en-US Trident/6.0)
mobile,"Mozilla/5.0 (Linux; Android 7.1; Xperia Build/NDE63X) AppleWebKit/601.50 (KHTML, like Gecko)  Chrome/55.0.2391.166 Mobile Safari/603.8"
mobile,"Mozilla/5.0 (Linux; U; Android 4.4.1; XT1070 Build/SU6-7.3) AppleWebKit/533.28 (KHTML, like Gecko)  Chrome/48.0.2316.206 Mobile Safari/535.4"
firefox,Mozilla/5.0 (Windows; Windows NT 6.1; WOW64) Gecko/20100101 Firefox/47.9
android,"Mozilla/5.0 (Android; Android 7.1; Pixel C Build/NME91E) AppleWebKit/535.47 (KHTML, like Gecko)  Chrome/55.0.1709.139 Mobile Safari/536.1"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_9; like Mac OS X) AppleWebKit/535.46 (KHTML, like Gecko)  Chrome/49.0.3689.109 Mobile Safari/534.6"
firefox,Mozilla/5.0 (Windows; Windows NT 6.3; WOW64; en-US) Gecko/20130401 Firefox/68.5
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 7_9_3; like Mac OS X) AppleWebKit/536.37 (KHTML, like Gecko)  Chrome/51.0.3443.236 Mobile Safari/537.3"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4;; en-US) AppleWebKit/534.22 (KHTML, like Gecko) Chrome/55.0.2419.177 Safari/603.4 Edge/11.12668"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_9_1) AppleWebKit/603.18 (KHTML, like Gecko) Chrome/54.0.3410.394 Safari/537"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_8; en-US) AppleWebKit/603.42 (KHTML, like Gecko) Chrome/47.0.3044.377 Safari/600"
edge,"Mozilla/5.0 (Windows; Windows NT 10.1; Win64; x64) AppleWebKit/536.48 (KHTML, like Gecko) Chrome/52.0.1272.186 Safari/533.4 Edge/11.97402"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_7_2) AppleWebKit/537.19 (KHTML, like Gecko) Chrome/51.0.3791.246 Safari/537"
edge,"Mozilla/5.0 (Windows NT 10.3; x64; en-US) AppleWebKit/601.13 (KHTML, like Gecko) Chrome/53.0.2788.167 Safari/603.2 Edge/12.97767"
linux,Mozilla/5.0 (Linux; Linux x86_64; en-US) Gecko/20100101 Firefox/64.9
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.2; Win64; x64; en-US Trident/7.0)
linux,Mozilla/5.0 (Linux; U; Linux i653 x86_64) Gecko/20100101 Firefox/54.0
windows,"Mozilla/5.0 (Windows; Windows NT 6.1; x64; en-US) AppleWebKit/603.34 (KHTML, like Gecko) Chrome/49.0.3401.365 Safari/600.6 Edge/12.34920"
windows,Mozilla/5.0 (Windows; Windows NT 6.3;) Gecko/20100101 Firefox/50.4
windows,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 10.0; Trident/6.0)
